City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Santa Maria,-29.6842,-53.8069,70.9,53,0,10.36,BR,2022-08-31 20:30:42
68,Ryotsu,38.0833,138.4333,76.44,92,79,7.83,JP,2022-08-31 20:28:17
69,Havoysund,70.9963,24.6622,44.83,80,100,12.64,NO,2022-08-31 20:30:43
70,Ugep,5.8086,8.0812,73.38,95,100,4.59,NG,2022-08-31 20:30:43
71,Tigil,57.8,158.6667,54.1,84,3,12.19,RU,2022-08-31 20:30:43
72,Mackay,-21.15,149.2,65.68,91,55,12.55,AU,2022-08-31 20:26:34
73,Henties Bay,-22.116,14.2845,57.43,88,29,5.53,NA,2022-08-31 20:30:44
74,Geraldton,-28.7667,114.6,55.81,54,0,17.27,AU,2022-08-31 20:30:44
75,Hobart,-42.8794,147.3294,51.26,79,20,5.75,AU,2022-08-31 20:29:57
76,Hamilton,39.1834,-84.5333,85.64,48,40,8.05,US,2022-08-31 20:30:42
77,Coihaique,-45.5752,-72.0662,49.95,53,75,8.05,CL,2022-08-31 20:30:45
78,Isangel,-19.55,169.2667,74.73,63,93,16.84,VU,2022-08-31 20:30:46
79,Castro,-24.7911,-50.0119,57.7,75,15,5.86,BR,2022-08-31 20:30:47
80,Nalut,30.3333,10.85,85.82,18,0,10.98,LY,2022-08-31 20:30:47
81,Yellowknife,62.456,-114.3525,59.56,77,75,9.22,CA,2022-08-31 20:29:44
82,Port Lincoln,-34.7333,135.8667,50.02,79,52,6.73,AU,2022-08-31 20:30:48
83,Daru,-9.0763,143.2092,77.34,92,48,11.7,PG,2022-08-31 20:30:48
84,Humberto De Campos,-2.5983,-43.4611,83.88,62,30,5.48,BR,2022-08-31 20:24:26
85,Cabo San Lucas,22.8909,-109.9124,91.71,51,75,11.5,MX,2022-08-31 20:30:49
86,Puerto Del Rosario,28.5004,-13.8627,74.95,88,20,12.66,ES,2022-08-31 20:30:49
87,Sayyan,15.1718,44.3244,65.77,36,3,8.61,YE,2022-08-31 20:30:50
88,Bayanday,53.0661,105.5139,47.01,68,17,4.61,RU,2022-08-31 20:30:50
89,Lorengau,-2.0226,147.2712,80.87,82,82,9.64,PG,2022-08-31 20:27:07
90,Anqing,30.5092,117.0506,66.85,91,98,5.59,CN,2022-08-31 20:31:51
91,Saint George,37.1041,-113.5841,105.44,13,0,8.05,US,2022-08-31 20:31:02
92,Chokurdakh,70.6333,147.9167,39.61,63,100,6.8,RU,2022-08-31 20:31:51
93,Sao Joao Da Barra,-21.6403,-41.0511,69.89,62,13,10.16,BR,2022-08-31 20:31:51
94,Nanortalik,60.1432,-45.2371,41.45,77,53,13.0,GL,2022-08-31 20:31:52
95,Batemans Bay,-35.7167,150.1833,54.1,89,33,4.76,AU,2022-08-31 20:31:52
96,Codrington,-38.2667,141.9667,46.81,73,100,8.75,AU,2022-08-31 20:31:53
97,Mahebourg,-20.4081,57.7,64.69,88,20,4.61,MU,2022-08-31 20:31:53
98,Bonavista,48.6499,-53.1147,68.72,67,99,12.97,CA,2022-08-31 20:31:54
