City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Saskylakh,71.9167,114.0833,39.72,96,100,12.86,RU,2022-08-31 20:05:42
68,Mahebourg,-20.4081,57.7,64.69,88,20,4.61,MU,2022-08-31 20:15:16
69,Bluff,-46.6,168.3333,51.69,90,100,6.08,NZ,2022-08-31 20:15:17
70,Nome,64.5011,-165.4064,50.07,88,100,9.22,US,2022-08-31 20:15:17
71,Georgetown,5.4112,100.3354,82.89,85,20,0.0,MY,2022-08-31 20:05:54
72,Udachnyy,66.4167,112.4,39.78,90,100,7.18,RU,2022-08-31 20:06:51
73,New Norfolk,-42.7826,147.0587,50.92,72,86,1.01,AU,2022-08-31 20:15:18
74,Merauke,-8.4667,140.3333,75.94,92,94,9.08,ID,2022-08-31 20:06:46
75,Mnogovershinnyy,53.9353,139.9242,51.96,91,2,4.45,RU,2022-08-31 20:12:14
76,Asyut,27.181,31.1837,87.98,31,0,12.53,EG,2022-08-31 20:10:46
77,Esperance,-33.8667,121.9,51.04,82,30,6.29,AU,2022-08-31 20:09:19
78,Ratnagiri,16.9833,73.3,79.11,93,54,9.46,IN,2022-08-31 20:15:21
79,Namuac,18.6109,121.1657,80.01,83,100,9.06,PH,2022-08-31 20:15:21
80,Barrow,71.2906,-156.7887,39.22,93,100,18.41,US,2022-08-31 20:00:37
81,Portland,45.5234,-122.6762,90.09,47,0,8.01,US,2022-08-31 20:06:22
82,Inhambane,-23.865,35.3833,64.22,73,64,11.14,MZ,2022-08-31 20:15:22
83,Zharkent,44.1628,80.0,64.74,39,0,3.96,KZ,2022-08-31 20:15:22
84,Chokurdakh,70.6333,147.9167,37.0,71,100,7.07,RU,2022-08-31 20:15:23
85,Tokur,53.1333,132.9,41.45,97,66,3.49,RU,2022-08-31 20:15:23
86,Cabo San Lucas,22.8909,-109.9124,91.71,51,75,11.5,MX,2022-08-31 20:11:48
87,Preeceville,51.95,-102.6677,89.8,26,1,13.51,CA,2022-08-31 20:15:24
88,Deputatskiy,69.3,139.9,40.91,89,63,3.06,RU,2022-08-31 20:15:24
89,Altamira,-3.2033,-52.2064,93.58,33,59,3.22,BR,2022-08-31 20:08:02
90,Balud,10.1476,123.6953,78.76,80,100,3.78,PH,2022-08-31 20:16:25
91,Ust-Maya,60.4167,134.5333,46.29,95,100,2.01,RU,2022-08-31 20:16:26
92,Castro,-24.7911,-50.0119,64.11,63,12,6.6,BR,2022-08-31 20:06:44
93,Sabratah,32.7933,12.4885,84.27,48,3,11.16,LY,2022-08-31 20:16:26
94,Flinders,-34.5833,150.8552,53.19,90,26,3.0,AU,2022-08-31 20:16:26
95,Sao Filipe,14.8961,-24.4956,77.81,79,95,7.94,CV,2022-08-31 20:16:27
96,Souillac,-20.5167,57.5167,64.78,88,20,4.61,MU,2022-08-31 20:16:27
97,Belsand,26.45,85.4,83.14,81,100,5.41,IN,2022-08-31 20:16:28
98,Nikolskoye,59.7035,30.7861,48.09,94,100,11.32,RU,2022-08-31 20:16:28
99,Linhares,-19.3911,-40.0722,69.08,53,95,8.63,BR,2022-08-31 20:16:28
100,Mount Gambier,-37.8333,140.7667,47.84,78,100,5.44,AU,2022-08-31 20:16:29
101,Elizabeth City,36.2946,-76.2511,91.06,55,100,6.91,US,2022-08-31 20:16:29
102,Bethel,41.3712,-73.414,85.01,41,20,13.8,US,2022-08-31 20:16:30
103,Luderitz,-26.6481,15.1594,57.67,79,3,6.04,NA,2022-08-31 20:13:17
104,Ahipara,-35.1667,173.1667,52.72,79,100,4.38,NZ,2022-08-31 20:11:31
105,Hithadhoo,-0.6,73.0833,80.73,74,89,14.81,MV,2022-08-31 20:16:30
106,San Cristobal,7.7669,-72.225,84.38,49,45,6.71,VE,2022-08-31 20:14:55
107,Hobart,-42.8794,147.3294,51.26,79,20,5.75,AU,2022-08-31 20:13:53
108,Maple Creek,49.9168,-109.4848,93.25,14,0,5.75,CA,2022-08-31 20:16:31
109,Ponta Do Sol,32.6667,-17.1,76.01,77,96,6.89,PT,2022-08-31 20:08:06
110,Chernyshevskiy,63.0128,112.4714,35.04,96,100,2.59,RU,2022-08-31 20:12:16
111,Sretensk,52.2453,117.7093,38.39,57,62,4.12,RU,2022-08-31 20:16:32
112,Ndele,8.4109,20.6473,70.66,98,100,3.42,CF,2022-08-31 20:16:32
113,Victoria,22.2855,114.1577,85.32,86,8,4.0,HK,2022-08-31 20:16:33
114,Union,40.6334,-74.2663,87.04,39,75,19.57,US,2022-08-31 20:13:46
115,Pahrump,36.2083,-115.9839,109.45,13,2,5.99,US,2022-08-31 20:06:53
116,Alamogordo,32.8995,-105.9603,81.41,55,75,6.91,US,2022-08-31 20:16:33
117,Norman Wells,65.282,-126.8329,67.26,46,50,0.65,CA,2022-08-31 20:08:23
118,Russkaya Polyana,49.417,31.9201,61.12,66,38,7.14,UA,2022-08-31 20:16:34
119,Saint George,37.1041,-113.5841,105.44,14,0,8.05,US,2022-08-31 20:08:16
120,Tabuk,17.4189,121.4443,73.76,91,90,2.93,PH,2022-08-31 20:16:34
121,Wuwei,37.9281,102.6414,64.2,50,76,4.92,CN,2022-08-31 20:16:35
122,Port-Gentil,-0.7193,8.7815,76.96,88,40,12.66,GA,2022-08-31 20:16:35
123,Fort-Shevchenko,44.5086,50.263,80.08,42,0,9.82,KZ,2022-08-31 20:16:36
124,Praia Da Vitoria,38.7333,-27.0667,76.75,88,75,5.48,PT,2022-08-31 20:16:36
125,Delmas,18.5447,-72.3028,86.72,70,75,10.36,HT,2022-08-31 20:16:37
126,Bodh Gaya,24.7,84.9833,81.12,81,100,4.76,IN,2022-08-31 20:16:37
127,Kalmunai,7.4167,81.8167,76.12,92,100,7.27,LK,2022-08-31 20:16:37
128,Kirov,58.5966,49.6601,56.12,97,82,8.19,RU,2022-08-31 20:16:38
129,Namwala,-15.7504,26.4384,71.65,36,41,7.34,ZM,2022-08-31 20:16:38
130,Carutapera,-1.195,-46.02,83.28,66,74,9.93,BR,2022-08-31 20:16:39
